iter	Passed	Remaining
0	0	271
1	0	275
2	0	263
3	0	238
4	1	215
5	1	216
6	1	216
7	1	215
8	1	213
9	2	212
10	2	211
11	2	202
12	2	196
13	2	192
14	2	190
15	3	191
16	3	192
17	3	193
18	3	193
19	3	193
20	4	192
21	4	190
22	4	191
23	4	191
24	4	192
25	5	193
26	5	192
27	5	190
28	5	187
29	5	188
30	6	189
31	6	189
32	6	189
33	6	189
34	6	189
35	7	188
36	7	188
37	7	189
38	7	189
39	7	189
40	8	189
41	8	188
42	8	188
43	8	188
44	8	188
45	9	189
46	9	188
47	9	188
48	9	189
49	9	188
50	10	189
51	10	188
52	10	188
53	10	188
54	10	188
55	11	186
56	11	185
57	11	184
58	11	185
59	11	185
60	12	185
61	12	185
62	12	185
63	12	185
64	12	183
65	12	183
66	13	183
67	13	183
68	13	183
69	13	183
70	14	183
71	14	182
72	14	181
73	14	181
74	14	180
75	14	180
76	15	180
77	15	179
78	15	180
79	15	179
80	15	179
81	16	179
82	16	179
83	16	178
84	16	178
85	16	178
86	17	178
87	17	178
88	17	178
89	17	178
90	17	178
91	18	178
92	18	178
93	18	178
94	18	177
95	18	177
96	19	177
97	19	176
98	19	176
99	19	176
100	19	176
101	20	176
102	20	175
103	20	175
104	20	175
105	20	175
106	20	175
107	21	175
108	21	174
109	21	174
110	21	174
111	21	174
112	22	174
113	22	174
114	22	173
115	22	173
116	23	173
117	23	173
118	23	173
119	23	173
120	23	173
121	24	172
122	24	172
123	24	171
124	24	171
125	24	171
126	24	171
127	25	171
128	25	171
129	25	171
130	25	170
131	25	170
132	26	170
133	26	170
134	26	170
135	26	170
136	27	170
137	27	170
138	27	169
139	27	169
140	27	169
141	27	168
142	28	168
143	28	168
144	28	168
145	28	168
146	28	168
147	29	168
148	29	167
149	29	167
150	29	167
151	30	167
152	30	167
153	30	167
154	30	167
155	30	166
156	30	166
157	31	166
158	31	165
159	31	165
160	31	165
161	31	165
162	32	164
163	32	164
164	32	164
165	32	164
166	32	164
167	33	164
168	33	163
169	33	163
170	33	163
171	33	162
172	34	162
173	34	162
174	34	162
175	34	162
176	34	162
177	35	161
178	35	161
179	35	161
180	35	161
181	35	161
182	36	160
183	36	160
184	36	160
185	36	160
186	36	160
187	37	160
188	37	159
189	37	159
190	37	159
191	37	159
192	38	159
193	38	158
194	38	158
195	38	158
196	38	158
197	39	158
198	39	158
199	39	157
200	39	157
201	39	157
202	40	157
203	40	157
204	40	157
205	40	156
206	40	156
207	41	156
208	41	156
209	41	156
210	41	156
211	41	156
212	42	155
213	42	155
214	42	155
215	42	155
216	43	155
217	43	155
218	43	154
219	43	154
220	43	154
221	44	154
222	44	154
223	44	153
224	44	153
225	44	153
226	45	153
227	45	153
228	45	153
229	45	152
230	45	152
231	46	152
232	46	152
233	46	152
234	46	152
235	46	151
236	47	151
237	47	151
238	47	151
239	47	151
240	47	151
241	48	150
242	48	150
243	48	150
244	48	150
245	48	150
246	49	149
247	49	149
248	49	149
249	49	149
250	50	149
251	50	149
252	50	148
253	50	148
254	50	148
255	51	148
256	51	148
257	51	148
258	51	147
259	51	147
260	52	147
261	52	147
262	52	147
263	52	147
264	52	146
265	53	146
266	53	146
267	53	146
268	53	146
269	53	145
270	54	145
271	54	145
272	54	145
273	54	145
274	55	145
275	55	144
276	55	144
277	55	144
278	55	144
279	56	144
280	56	143
281	56	143
282	56	143
283	57	143
284	57	143
285	57	143
286	57	143
287	57	143
288	58	142
289	58	142
290	58	142
291	58	142
292	58	142
293	59	142
294	59	141
295	59	141
296	59	141
297	59	141
298	60	141
299	60	140
300	60	140
301	60	140
302	61	140
303	61	140
304	61	140
305	61	139
306	61	139
307	62	139
308	62	139
309	62	139
310	62	138
311	62	138
312	63	138
313	63	138
314	63	138
315	63	137
316	63	137
317	64	137
318	64	137
319	64	137
320	64	136
321	64	136
322	65	136
323	65	136
324	65	136
325	65	136
326	65	135
327	66	135
328	66	135
329	66	135
330	66	135
331	67	134
332	67	134
333	67	134
334	67	134
335	67	134
336	68	133
337	68	133
338	68	133
339	68	133
340	68	133
341	69	132
342	69	132
343	69	132
344	69	132
345	69	132
346	70	131
347	70	131
348	70	131
349	70	131
350	70	131
351	71	130
352	71	130
353	71	130
354	71	130
355	71	130
356	72	129
357	72	129
358	72	129
359	72	129
360	72	129
361	73	128
362	73	128
363	73	128
364	73	128
365	73	128
366	74	127
367	74	127
368	74	127
369	74	127
370	74	127
371	75	126
372	75	126
373	75	126
374	75	126
375	75	126
376	76	125
377	76	125
378	76	125
379	76	125
380	76	125
381	77	124
382	77	124
383	77	124
384	77	124
385	78	124
386	78	124
387	78	124
388	78	124
389	79	123
390	79	123
391	79	123
392	79	123
393	80	123
394	80	122
395	80	122
396	80	122
397	80	122
398	81	122
399	81	121
400	81	121
401	81	121
402	81	121
403	82	121
404	82	120
405	82	120
406	82	120
407	82	120
408	83	120
409	83	119
410	83	119
411	83	119
412	83	119
413	84	119
414	84	119
415	84	118
416	84	118
417	85	118
418	85	118
419	85	117
420	85	117
421	85	117
422	86	117
423	86	117
424	86	116
425	86	116
426	86	116
427	87	116
428	87	116
429	87	115
430	87	115
431	87	115
432	88	115
433	88	115
434	88	114
435	88	114
436	88	114
437	89	114
438	89	114
439	89	113
440	89	113
441	89	113
442	90	113
443	90	113
444	90	112
445	90	112
446	90	112
447	91	112
448	91	112
449	91	111
450	91	111
451	91	111
452	92	111
453	92	111
454	92	110
455	92	110
456	93	110
457	93	110
458	93	110
459	93	109
460	93	109
461	94	109
462	94	109
463	94	109
464	94	108
465	94	108
466	95	108
467	95	108
468	95	108
469	95	107
470	95	107
471	96	107
472	96	107
473	96	107
474	96	106
475	96	106
476	97	106
477	97	106
478	97	105
479	97	105
480	97	105
481	98	105
482	98	105
483	98	104
484	98	104
485	98	104
486	99	104
487	99	104
488	99	103
489	99	103
490	99	103
491	100	103
492	100	103
493	100	102
494	100	102
495	100	102
496	101	102
497	101	102
498	101	101
499	101	101
500	101	101
501	102	101
502	102	101
503	102	100
504	102	100
505	102	100
506	103	100
507	103	99
508	103	99
509	103	99
510	103	99
511	104	99
512	104	98
513	104	98
514	104	98
515	104	98
516	105	98
517	105	98
518	105	97
519	105	97
520	105	97
521	106	97
522	106	97
523	106	96
524	106	96
525	107	96
526	107	96
527	107	96
528	107	95
529	107	95
530	108	95
531	108	95
532	108	95
533	108	94
534	108	94
535	109	94
536	109	94
537	109	93
538	109	93
539	109	93
540	110	93
541	110	93
542	110	93
543	110	92
544	110	92
545	111	92
546	111	92
547	111	92
548	111	91
549	111	91
550	112	91
551	112	91
552	112	90
553	112	90
554	112	90
555	113	90
556	113	90
557	113	89
558	113	89
559	113	89
560	114	89
561	114	89
562	114	88
563	114	88
564	114	88
565	114	88
566	115	87
567	115	87
568	115	87
569	115	87
570	115	86
571	115	86
572	116	86
573	116	86
574	116	86
575	116	85
576	116	85
577	117	85
578	117	85
579	117	85
580	117	84
581	117	84
582	118	84
583	118	84
584	118	84
585	118	83
586	118	83
587	119	83
588	119	83
589	119	83
590	119	82
591	120	82
592	120	82
593	120	82
594	120	82
595	121	82
596	121	81
597	121	81
598	121	81
599	122	81
600	122	81
601	122	80
602	122	80
603	122	80
604	123	80
605	123	80
606	123	79
607	123	79
608	123	79
609	124	79
610	124	79
611	124	78
612	124	78
613	124	78
614	125	78
615	125	78
616	125	77
617	125	77
618	125	77
619	126	77
620	126	77
621	126	76
622	126	76
623	127	76
624	127	76
625	127	76
626	127	75
627	127	75
628	127	75
629	128	75
630	128	75
631	128	74
632	128	74
633	128	74
634	129	74
635	129	74
636	129	73
637	129	73
638	130	73
639	130	73
640	130	73
641	130	72
642	130	72
643	131	72
644	131	72
645	131	72
646	131	71
647	131	71
648	132	71
649	132	71
650	132	71
651	132	70
652	133	70
653	133	70
654	133	70
655	133	70
656	133	69
657	133	69
658	134	69
659	134	69
660	134	69
661	135	68
662	135	68
663	135	68
664	135	68
665	135	68
666	136	67
667	136	67
668	136	67
669	136	67
670	136	67
671	137	66
672	137	66
673	137	66
674	137	66
675	138	66
676	138	65
677	138	65
678	138	65
679	138	65
680	138	65
681	139	64
682	139	64
683	139	64
684	139	64
685	140	64
686	140	63
687	140	63
688	140	63
689	140	63
690	141	63
691	141	62
692	141	62
693	141	62
694	141	62
695	141	62
696	142	61
697	142	61
698	142	61
699	142	61
700	142	60
701	143	60
702	143	60
703	143	60
704	143	60
705	143	59
706	143	59
707	144	59
708	144	59
709	144	59
710	144	58
711	144	58
712	145	58
713	145	58
714	145	58
715	145	57
716	146	57
717	146	57
718	146	57
719	146	57
720	146	56
721	147	56
722	147	56
723	147	56
724	147	55
725	147	55
726	147	55
727	148	55
728	148	55
729	148	54
730	148	54
731	148	54
732	149	54
733	149	54
734	149	53
735	149	53
736	149	53
737	150	53
738	150	53
739	150	52
740	150	52
741	150	52
742	151	52
743	151	52
744	151	51
745	151	51
746	151	51
747	152	51
748	152	51
749	152	50
750	152	50
751	152	50
752	153	50
753	153	50
754	153	49
755	153	49
756	153	49
757	154	49
758	154	49
759	154	48
760	154	48
761	155	48
762	155	48
763	155	48
764	155	47
765	155	47
766	156	47
767	156	47
768	156	47
769	156	46
770	156	46
771	157	46
772	157	46
773	157	45
774	157	45
775	157	45
776	158	45
777	158	45
778	158	44
779	158	44
780	158	44
781	159	44
782	159	44
783	159	43
784	159	43
